µØµã,¶ÌÆÀ,³ö·¢Ê±¼ä,ÌìÊý,ÈË¾ù·ÑÓÃ,ÈËÎï,Íæ·¨,ä¯ÀÀÁ¿
ÉÏº£,[¹ºÎï]ÊÇÊ±ºòÈ«·½Î»µÃ¸ß´óÉÏÁË¡ª¡ªÀ´Ä§¶¼ÌåÑéÈý´óµÈ¼¶°Ë´óÉÌÈ¦£¡£¡,/2018/08/15,1,1000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?¹ºÎï?ÏÄ¼¾?Êî¼Ù,31000
ÖØÇì,ºÍ½ã½ãµÄÎ÷ÄÏÐÐ¡ª¡ªÖØÇì,/2018/08/14,3,1300,¼ÒÍ¥,ÈËÎÄ?ÃÀÊ³?ÏÄ¼¾,4106
áÓãô,»¨Äñµº£üÖ»Òªº£·çÔÚ´µ£¬ÎÒ¶¼»áÏëÄã£¨¸½³¬ÐÂµÇµº¹¥ÂÔ£©,/2018/07/04,3,1300,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÂþÓÎ?ÃÀÊ³?º£±õº£µº?ÏÄ¼¾,19000
¹¥ÂÔ,Íæ×ª¼ÃÖÝÉñ»°ÊÀ½ç£¬ÍøºìÃÀÊ³Óë´Ì¼¤Ë®ÀÖÔ°µÄÊ¢ÏÄÖ®ÂÃ,/2018/08/04,3,2000,ÈýÎåºÃÓÑ,ÉãÓ°?º£±õº£µº?ÏÄ¼¾?Êî¼Ù,40000
ºÚË®ÏØ,Ñ©É½Óö¼û²ÊÁÖ£¬ÄÌ×Ó¹µÓö¼û¿¨Áú¹µ£¬Ç§Äê¹ÅÕ¯Óö¼ûÐÂÊ½²ØÕ¯£¬¹þÀ×Óö¼û²ÊÅÜ....,/2017/10/27,7,1200,ÈýÎåºÃÓÑ,×Ô¼Ý?»·ÓÎ?ÉãÓ°?ÈËÎÄ?¶¬¼¾,16000
Çàµº,¡¾ÂÃÐÐÃÛÓï¡¿Çàµº£¬·çÇéÖÖµÄº£±õ³ÇÊÐ---²»µÃ²»°®,/2018/08/06,7,1888,¶À×ÔÒ»ÈË,º£±õº£µº?Êî¼Ù,13000
ÏÃÃÅ,6810×éºÏµÚÈýÕ¾£ºÏÃÃÅ,/2018/08/03,4,1500,Ç××Ó,µÚÒ»´Î?Êî¼Ù,8785
¹¥ÂÔ,ÑÌ»¨ÈýÔÂ×Ô¼ÝÎýÑïÄþ»´Á¬£»ºÍ¸¸Ä¸ÏíÊÜ´ºµÄÃÀÀö¡ª¡ªÖ®¶þ,/2018/03/25,8,2700,¼ÒÍ¥,Éî¶ÈÓÎ?×Ô¼Ý?ÉÍÓ£?ÎÂÈª?Ì¤´º,4606
ÐËÒå,¹óÖÝ×Ô¼ÝÁùÈÕÓÎ,/2018/08/11,6,1600,ÈýÎåºÃÓÑ,×Ô¼Ý?Í½²½?ÉãÓ°?ÈËÎÄ?ÏÄ¼¾?Êî¼Ù,48000
¼ÃÄÏ,¼ÃÄÏÇàµºÎåÈÕ×ÔÓÉÐÐ,/2018/08/05,5,2000,¼ÒÍ¥,º£±õº£µº?ÃÀÊ³?ÏÄ¼¾?Êî¼Ù,1933
¹¥ÂÔ,Ò»¶ÎÂÃÍ¾£¬hiÂúÖÞÀï,/2018/08/03,2,800,¼ÒÍ¥,¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?ÂþÓÎ?¹ºÎï?ÉãÓ°?ÈËÎÄ?ÏÄ¼¾,3246
º¼½õÆì,ÔÚÁªºÏ¹ú·ÀÖÎ»ÄÄ®»¯¹«Ô¼Ö÷Ï¯¹ú¡°»á¿ÍÌü¡±×ö¿Íº£³ÔÃÀÊ³À¿¾¡ÃÀ¾°ÍÂÑª¹¥ÂÔ£¡,/2018/07/22,2,1500,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?×Ô¼Ý?ÉãÓ°?ÃÀÊ³?ÏÄ¼¾,4536
ÎÚÀ¼²ì²¼,¡¾ÎÚÀ¼²ì²¼£¬Ì½Ñ°²ÝÔ­Éî´¦µÄÃÉ¹Å·çÇé¡¿,/2018/08/02,4,2000,ÈýÎåºÃÓÑ,×Ô¼Ý?ÉãÓ°?ÈËÎÄ?ÏÄ¼¾?Êî¼Ù,6766
Ïã¸Û,#Ïã¸ÛÃÀÊ³µØÍ¼#´øÉÏÄãµÄÎ¸£¬ÎÒÃÇÒ»Æð³ö·¢Ïã¸Û£¡,/2018/08/10,2,700,ÈýÎåºÃÓÑ,µÚÒ»´Î?Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?ÉãÓ°?ÃÀÊ³?Êî¼Ù?¹úÇì,10000
ÕòÔ¶,Êî¼ÙÓÎ¹óÖÝ¡ª¡ªÊ®Ê¡ÊÐµÄÓÎ¿ÍÓÐ¸£À²,/2018/07/28,11,2500,¼ÒÍ¥,×Ô¼Ý?Êî¼Ù,4223
Ì«Ô­,#¶«ÄÏDX3Ò¹Ã¨ÐÐ¶¯#ÐÐ×ß½ú¼½£¬Ç×ÁÙ»ÆºÓºø¿ÚÆÙ²¼,/2018/08/09,5,1500,ÇéÂÂ,»·ÓÎ?ÉãÓ°,3585
Ä«¶û±¾,×Ô¼Ý³©ÓÎ´óÑóÂ·¡«ÄÑÍüµÄ2018´º½Ú,/2018/02/09,3,1500,Ç××Ó,×Ô¼Ý?´º½Ú,2894
Çàµº,Á½ÌìÁ½Ò¹ÇàµºÂÃÓÎÈ«¹¥ÂÔ¡¬Õâ¸öÖÜÄ©È¥ÇàµºÆ¡¾Æ½ÚºÈÕý×ÚÇàµºÆ¡¾Æ,/2018/08/04,3,2500,¶À×ÔÒ»ÈË,µÚÒ»´Î?Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?±ÏÒµÓÎ?ÉãÓ°?ÃÀÊ³?ÈËÎÄ?º£±õº£µº?Êî¼Ù,55000
°¢°Ó,¡¾³É¶¼ÖÜ±ßÓÎ¡¿ÏÉ¾³°ãµÄ¸¡ÔÆÄÁ³¡£¬ÍøºìÅÄÕÕÊ¤µØ¹¥ÂÔ,/2018/08/08,3,400,ÈýÎåºÃÓÑ,µÚÒ»´Î?¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?»·ÓÎ?±ÏÒµÓÎ?ÉãÓ°?ÃÛÔÂ?Ì½ÏÕ?´º½Ú?Ì¤´º?ÎåÒ»?ÏÄ¼¾?Êî¼Ù?¹úÇì?º®¼Ù,29000
°£ÀïÎÂ,ÑÇÃÀÄáÑÇÔÚÉÏµÛµÄºó»¨Ô°£¬ÓëÉñÍ¬ÐÐ,/2018/06/18,9,2500,¶À×ÔÒ»ÈË,Éî¶ÈÓÎ?ÉãÓ°,4856
¹¥ÂÔ,×Ôñû5ÈÕßÛ,/2018/07/28,5,2000,¼ÒÍ¥,×Ô¼Ý?Êî¼Ù,1436
ä¶ÖÞµº,ä¶ÖÞµº£¬ÄÇÐ©Ò»¶¨ÒªÈ¥ÅÄµÄµã,/2018/08/01,4,1000,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?ÃÀÊ³?ÉãÓ°?Êî¼Ù,17000
ÒÁ½ð»ôÂåÆì,Àä±øÆ÷Ê±´ú¿´ÖÐ¹úÊ·ÉÏ×î´ó½®Óò°æÍ¼ÊÇÔõÑùÁ¶³ÉµÄ£¨º¬³¬´ó¾°Çø³É¼ªË¼º¹ÁêÂÃÓÎ¹¥ÂÔ£©,/2018/07/19,1,260,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?×Ô¼Ý?ÉãÓ°?ÈËÎÄ?ÏÄ¼¾,4124
ÏÃÃÅ,Á½¸ö³Ô»õµÄÏÃÃÅÓÎ,/2018/07/10,5,2800,ÇéÂÂ,µÚÒ»´Î?ÇîÓÎ?ÏÄ¼¾?Êî¼Ù,4397
ÄÏ¾©,Áù³¯¹Å¶¼£¬±©º¹ÄÏ¾©,/2018/08/03,3,800,¹ëÃÛ,ÃÀÊ³?ÉãÓ°?Êî¼Ù,2781
¶Ø»Í,´óÎ÷±±Ë¿³ñÖ®Â·»·ÏßÖ®ÂÃ,/2018/07/20,7,2500,ÈýÎåºÃÓÑ,ÃÀÊ³?×Ô¼Ý?Éî¶ÈÓÎ?ÇîÓÎ?»éÉ´,9764
¹ãÖÝ,#¹ãÖÝÃÀÊ³µØÍ¼#´øÄã¿ªÊ¼Ò»³¡Ëµ³Ô¾Í³ÔµÄÂÃÐÐ~,/2018/08/06,3,800,ÈýÎåºÃÓÑ,µÚÒ»´Î?Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?ÉãÓ°?ÃÀÊ³?Êî¼Ù,16000
Ì¨ÖÝ,¡¾Âþ»­ÓÎ¼Ç¡¿Ï¸Æ·Ì¨ÖÝÎ¶£¬É½Ë®µÀ²»Íê£¡,/2018/08/06,6,2000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÂþÓÎ?¹ÅÕò?ÃÀÊ³?ÈËÎÄ?ÉÍÇï,6750
¶õ¶û¶àË¹,´ø×Å±¦±´È¥ÂÃÐÐ£¬ÉÙÄêÄÇ´ïÄ½¼ûÖ¤ÄãÓÂ¸ÒµÄÐÄ,/2018/08/05,3,1500,Ç××Ó,Éî¶ÈÓÎ?ÏÄ¼¾,14000
ÁÙäü,#¶«ÄÏDX3Ò¹Ã¨ÐÐ¶¯#²»¼û³¤°²´ø×Åºº·þÈ¥ÂÃÅÄ,/2018/07/28,2,1500,ÇéÂÂ,Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©,16000
ÆÕÀ¼µê,¹ÏÆ¤µº¡¤Ò»µã²»¹ÏÆ¤,/2018/07/28,2,500,¼ÒÍ¥,¶ÌÍ¾ÖÜÄ©?º£±õº£µº?ÏÄ¼¾,6604
ÈýÑÇ,Ò¬·çÓëº£µº,/2018/08/15,8,2500,Ç××Ó,º£±õº£µº?Êî¼Ù,2253
À¼ÖÝ,Ñ°ÃÙ¾ÅÉ«¸ÊÄÏ£¬×¤×ã²ØµØ·ð¹ú,/2018/08/05,4,1500,Ç××Ó,µÚÒ»´Î?ÏÄ¼¾,2924
Ëì²ý,×ø¿´ÏÉ¾³É½ÔÆÓ¿¶¯£¬Ôì·ÃºìÉ«ÎÄ»¯¹ÅÕòØ­Ëì²ý3ÈÕÐÝÏÐÓÎ,/2018/08/04,1,1800,ÇéÂÂ,Éî¶ÈÓÎ?ÏÄ¼¾,150000
¿ª·â,ÓëÀúÊ·Ç×½üµÄÊ±¿Ì¡¤Ñ°¼£ÖÐÔ­#?ÇåÃ÷ºÓÉÏ¿ª·âÂåÑôÖ£ÖÝµÇ·â5ÈÕ,/2018/04/05,5,2029,¶À×ÔÒ»ÈË,ÈËÎÄ?ÇåÃ÷,8021
´óÀí,ÄÇÒ»ÄêÎÒ‚ÔÚ´óÀí?,/2018/07/23,3,2500,ÇéÂÂ,ÃÀÊ³?¹ÅÕò?ÉãÓ°?ÈËÎÄ?Éî¶ÈÓÎ?ÇîÓÎ?ÏÄ¼¾?Êî¼Ù,2432
ÅîÀ³,ÈË¼äÏÉ¾³£¬ÖÁÃÀÅîÀ³³¤µº,/2018/07/30,3,1000,¶À×ÔÒ»ÈË,¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?ÉãÓ°?º£±õº£µº?ÏÄ¼¾?Êî¼Ù,6288
´ïÀ­ÌØÆì,ÏìÉ³ÍåÉ³º£Ç°·½¸ßÄÜ£¡´óÉ³Ä®ÔâÓö±©ÓêÀäµ½ÄãºÞ²»µÃ´©Óð£¡ÈÞ£¡·þ£¡,/2018/07/18,1,460,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?×Ô¼Ý?ÉãÓ°?ÃÀÊ³?ÏÄ¼¾,5449
³¤É³,#¶«ÄÏDX3Ò¹Ã¨ÐÐ¶¯#³Ô²»ÁËÀ±£¬Ò²ÄÜÔÚ³¤É³¿ìÀÖÒ»ÏÄ£¨¹ä³Ô´ò¿¨+Ã§É½ÐÐ¼Ç£©,/2018/07/10,6,2020,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?ÉãÓ°?ÃÀÊ³?ÈËÎÄ?Êî¼Ù,39000
³É¶¼,#¸ú×Å°×´óÊå¹ä³Ô¹ä³Ô#½«¡¶½ÖÍ·ÃÀÊ³¶·Ê¿¡·ÖÐµÄÐ¡³ÔÒ»Íø´ò¾¡µÚÒ»¼¯#³É¶¼Æª#,/2018/08/02,3,800,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÃÀÊ³,31000
³¤É³,#³¤É³ÃÀÊ³µØÍ¼#³¤É³ÃÀÊ³Ì½µê£¬´øÄã³Ô×îºÃ³ÔµÄÏæ²Ë,/2018/08/02,3,700,ÈýÎåºÃÓÑ,µÚÒ»´Î?Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?ÉãÓ°?ÃÀÊ³?Êî¼Ù,32000
ÏçÄþ,ÈýÌìÈýÒ¹£¬Ëß²»¾¡µÄÔÆÇðÉ½É½Ë®ÃÀ¾í,/2018/07/15,3,2000,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?×Ô¼Ý?ÉãÓ°?ÈËÎÄ?ÏÄ¼¾,6113
³¤É³,¡¾ÂÃÐÐÈÕ¼Ç¡¿ÐÔ¼Û±ÈÖ®Íõ¡ª¡ª³ÔÔÚ³¤É³£¬ÍæÔÚÕÅ¼Ò½ç£¡£¡£¡,/2018/08/01,8,2400,¶À×ÔÒ»ÈË,µÚÒ»´Î?Éî¶ÈÓÎ?ÇîÓÎ?×Ô¼Ý?ÂþÓÎ?±ÏÒµÓÎ?ÉãÓ°?ÃÀÊ³?ÏÄ¼¾?Êî¼Ù?ÉÍÇï?¹úÇì,48000
¹ðÁÖ,ÌÓÀë³ÇÊÐ¡ª¡ªÓö¼û×îÃÀµÄ¹ðÁÖÉ½Ë®ÓëÁú¼¹ÌÝÌï,/2018/04/17,5,2000,¶À×ÔÒ»ÈË,µÚÒ»´Î?Éî¶ÈÓÎ?ÉãÓ°?ÈËÎÄ,4188
ÂÀÁº,ÉÂ½úÖ®ÐÐÓÎ¼Ç,/2018/06/02,10,2800,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?¶ËÎç,60000
Î÷°²,2018µÄµÚÒ»³¡ÂÃÐÐ¡ª¡ª¸ÊËà,/2018/01/29,6,2400,ÈýÎåºÃÓÑ,µÚÒ»´Î?¶¬¼¾,3246
³É¶¼,»¶ÀÖ³É¶¼Èý¼ÒÍ¬ÓÎ,/2018/07/26,6,1500,¼ÒÍ¥,ÇîÓÎ,3891
ÏçÄþ,ÔÆáÛ¹éÀ´²»¿´É½£¬ÖÃÉíÃØ¾³ÔÆÇðÉ½,/2018/08/01,4,2000,ÈýÎåºÃÓÑ,Í½²½?ÏÄ¼¾,9401
º¼ÖÝ,3ÈÕÓÎ,/2018/07/29,4,1000,ÇéÂÂ,ÃÀÊ³?¹ÅÕò?ÇîÓÎ,4490
Á¬ÔÆ¸Û,Á¬ÔÆ¸Û¹ÛÁ¬ÔÆÀÏ½ÖÉ½º£Ê¯³Ç£¬Ì½ÊÀÍâÌÒÔ´ËÞ³Çº£ÉÏÉ½,/2018/02/10,2,500,¼ÒÍ¥,¶ÌÍ¾ÖÜÄ©?´º½Ú?¶¬¼¾?º®¼Ù,7996
äàÑô,2018ÄêÏÄÌì³£ÖÝäàÑôÌìÄ¿ºþ2Ìì2Ò¹¹¥ÂÔ£¨É½Ë®Ô°¡¢Ë®ÊÀ½ç¡¢ÓùË®ÎÂÈª£©,/2018/07/27,2,1450,ÇéÂÂ,µÚÒ»´Î?¶ÌÍ¾ÖÜÄ©?ÎÂÈª?ÏÄ¼¾?Êî¼Ù,24000
¹¥ÂÔ,1ÈÕÓÎ,/2018/07/23,4,2000,Ç××Ó,Éî¶ÈÓÎ,3207
ÁúÄÏ,¸ÓÄÏµØÇøÒþ²Ø×ÅÒ»×ùÉ½¡¢Ò»×ù³Ç£¬¾¹Èç´ËÉÙÈËÖª,/2018/07/18,3,600,¹ëÃÛ,µÚÒ»´Î?ÏÄ¼¾?Êî¼Ù,27000
ÌÆÉ½,¡¾°ÙÄêÌÆÉ½¡¿140Äê¿ª²ºÊ·£¬¸°Ò»³¡¹¤ÒµºÍº£µºµÄÖ÷ÌâÂÃÐÐ,/2018/07/05,5,1300,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?ÇîÓÎ?ÈËÎÄ?º£±õº£µº?Êî¼Ù,9018
Ëì²ý,#¶«ÄÏDX3Ò¹Ã¨ÐÐ¶¯#×Ô¼ÝÔÆÉÏËì²ý£¬ÂþÓÎÌÀÏÔ×æ±ÊÏÂµÄÉ½Ë®»­¾í,/2018/07/23,3,2000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?¹ÅÕò?ÉãÓ°?ÈËÎÄ?ÏÄ¼¾?Êî¼Ù,28000
ÄÏ¾©,ÏÄÈÕÖ®ÂÃ¡«°Í²¼ÂåÇ××ÓÁ½ÈÕ,/2018/07/14,2,100,Ç××Ó,×Ô¼Ý?Êî¼Ù,5562
ÎäÁêÔ´,¡¾ÏëÄîÏæÎ÷¡¿ÔÚãû½­æÒÏ·ÔÚÕÅ¼Ò½çµÈÒ»³¡É½Óê,/2018/07/28,5,2000,Ñ§Éú,Éî¶ÈÓÎ?¹ÅÕò?ÈËÎÄ?ÏÄ¼¾,84000
ÈýÑÇ,º£ÄÏÊ®Ìì¾ÅÍí×ÔÓÉÊæÊÊ¾­¼ÃÓÎ,/2018/07/17,10,2000,ÇéÂÂ,Éî¶ÈÓÎ?ÂþÓÎ?Êî¼Ù,4245
ÎÞÎý,"""ÏÄ""½­ÄÏ£¬ÈÃÊ±¹âÍ£ÁôÔÚÎÞÎýÉ½Ë®¼ä",/2018/07/12,2,1000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?Êî¼Ù,9865
ÆÎÌï,2018Äê6ÔÂ±³°ü¿ÍµÚÒ»Õ¾¡¾¸£½¨£¬ÆÎÌï¡¿,/2018/06/24,2,531,¼ÒÍ¥,Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?ÏÄ¼¾,7327
ÈÕÕÕ,×Ô¼ÝÈ¥ÈÕÕÕ¿´º£¡ª¡ªÔ²Ï±¸¾¶ùÃÎÏë,/2018/07/15,5,1500,¼ÒÍ¥,×Ô¼Ý?Êî¼Ù,133000
Ê¯¼Ò×¯,Ê¯¼Ò×¯×îÖµµÃ´ò¿¨¾°µã£¡´ó¸ç½ÌÄãÔÚ¹ú¼Ê×¯×öÍøºì£¡£¡£¡,/2018/07/26,1,200,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?¹ºÎï?ÉãÓ°?ÃÀÊ³,28000
³É¶¼,¡¾ÇåÁ¹Ò»ÏÄ¡¿Î÷ÄÏÐÐ?1800Ôª½ÌÄãÍæ±éÎ÷ÄÏÈýÊ¡ÎåÊÐ,/2018/07/26,6,1800,Ñ§Éú,Éî¶ÈÓÎ?ÇîÓÎ?ÂþÓÎ?±ÏÒµÓÎ?ÉãÓ°?ÃÀÊ³?ÏÄ¼¾?Êî¼Ù?ÉÍÇï,23000
»ÝÖÝ,#¶«ÄÏDX3Ò¹Ã¨ÐÐ¶¯#ÁëÄÏ»ØÒäÂ¼|ºþ¹âÉ½É«£¬»ÝÃñÖ®ÖÝ,/2018/07/14,1,500,¶À×ÔÒ»ÈË,¶ÌÍ¾ÖÜÄ©?ÏÄ¼¾?Êî¼Ù,16000
¹ãÖÝ,´øÍÞ³©Íæ¹ãÖÝ³¤Â¡Ò°Éú¶¯ÎïÊÀ½ç£¬ÓÐÕâÒ»Æª¾Í¹»ÁË£¡,/2018/06/28,2,1000,Ç××Ó,¶ÌÍ¾ÖÜÄ©?ÏÄ¼¾,13000
µÂ½­,»¶ÀÖµÂ½­£¬ÎÒºÞ´ËÊ±²ÅÓëÄãÏàÓö,/2018/07/17,4,2000,ÈýÎåºÃÓÑ,×Ô¼Ý?ÃÀÊ³?ÈËÎÄ?ÏÄ¼¾,7432
¹¥ÂÔ,¡¾È¥Íæ¶ù°¡¡¿°ËÔÂ×î¼ÑÂÃÐÐÄ¿µÄµØ´óÅÌµã/8¸ö¾«Ñ¡ºÃÈ¥´¦/¿ì¿ìÔ¼ÆðÀ´,/2018/07/25,3,2000,ÈýÎåºÃÓÑ,µÚÒ»´Î?Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?ÆïÐÐ?Í½²½?»·ÓÎ?ÂþÓÎ?±ÏÒµÓÎ?¹ÅÕò?ÉãÓ°?ÃÀÊ³?Ì½ÏÕ?ÈËÎÄ?º£±õº£µº?Ç±Ë®?ÏÄ¼¾?Êî¼Ù?ÉÍÇï?ÖÐÇï½Ú?¹úÇì,24000
ÃÜÔÆ,ÃÀÀöÃÜÔÆ£¬²ÊÉ«ÃÜÔÆ,/2018/07/25,1,1000,ÇéÂÂ,¶ÌÍ¾ÖÜÄ©?Êî¼Ù,18000
ÎÞÎý,#¶«ÄÏDX3Ò¹Ã¨ÐÐ¶¯#½­ÄÏÐÐ£üåâåË½õÐå±õºþ£¬Óö¼ûìøÒâÎÞÎý,/2018/07/11,3,2000,ÈýÎåºÃÓÑ,ÉãÓ°?ÈËÎÄ?ÏÄ¼¾,7701
º£À­¶û,Õâ¸öÏÄÌìÏàÔ¼Ò»Æð¡°·ç´µ²ÝµÍÏÖÅ£Ñò¡±£ºÅÌµãÄÚÃÉ¹ÅµÄËÄ´ó²ÝÔ­¾°µã,/2018/07/24,5,2500,¹ëÃÛ,×Ô¼Ý?ÉãÓ°?ÏÄ¼¾?Êî¼Ù,14000
Î÷°²,¡¾ÇîÓÎ¡¿¹úÄÚ7¸ö×îÊÊºÏÐ¡Ô¤ËãµÄÂÃÐÐµØ£¬Ê¡Ç®ºÜ¿ªÐÄ£¬¿ìÀ´Æ¤Ò»ÏÂ,/2018/07/24,3,2000,¶À×ÔÒ»ÈË,Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?ÆïÐÐ?Í½²½?ÂþÓÎ?±ÏÒµÓÎ?¹ÅÕò?ÉãÓ°?ÈËÎÄ?º£±õº£µº?ÏÄ¼¾?¹úÇì,67000
¹¥ÂÔ,¡¾´ÓÄãµÄÈ«ÊÀ½çÂ·¹ý¡ª¡ªÖØÇìÕ¾¡¿,/2017/01/28,4,1000,ÇéÂÂ,×Ô¼Ý?ÉãÓ°?ÃÀÊ³?¶¬¼¾,3320
°²¼ª,Éí´¦°²¼ªÈ«Õæ¹È£¬ÏíÊÜÊæÊÊ°²ÒÝµÄ¡°ÊÀÍâÔ´¡±£¬Ç××ÓÈýÈÕÓÎÖ®°²¼ª×îÇ¿¹¥ÂÔ,/2018/07/20,3,1200,Ç××Ó,¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?ÏÄ¼¾?Êî¼Ù,13000
ÏóÉ½,ÏóÉ½Ê¯ÆÖ£¯Ì´Í·É½µº2Ìì1Ò¹Ò»×ùÓæ´å£¬Ò»×ùÀëµº£¬º£±ã²»ÊÇÒ»¸öÒ£Ô¶µÄÃÎ,/2018/07/07,2,700,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÏÄ¼¾,19000
¹¥ÂÔ,¡¾±ÜÊî¡¿½ñÄêµÄÆß°ËÔÂ¾ÍÈ¥Õâ9¸öÇåË¬ºÃµØ¶ù¹ÅÕòÀÏ½Ö/¸ßÔ­ºþ²´ÃÀ×Ì¶ù×Ì¶ù,/2018/07/23,3,2000,¶À×ÔÒ»ÈË,µÚÒ»´Î?Éî¶ÈÓÎ?ÇîÓÎ?×Ô¼Ý?Í½²½?ÂþÓÎ?±ÏÒµÓÎ?¹ÅÕò?ÉãÓ°?ÃÀÊ³?Ì½ÏÕ?ÈËÎÄ?ÏÄ¼¾?Êî¼Ù?¹úÇì,48000
ÖØÇì,ÖØÇì£ü´øÄãÈ¥¿´ÐÄµ×ÄÇ×ùÉ½³Ç5Ìì5Ò¹Éî¶ÈÓÎ£¨ÈËÎÄ£¯·ç¹â£¯ÃÀÊ³£©,/2017/02/08,5,2300,¹ëÃÛ,ÉãÓ°?ÃÀÊ³?ÈËÎÄ?´º½Ú,8125
Äþ²¨,4ÈÕÓÎ,/2018/07/16,4,1500,¹ëÃÛ,ÃÀÊ³?º£±õº£µº?µÚÒ»´Î?»·ÓÎ,14000
Îäºº,Îäºº£ü´øÄãÈ¥¿´ÐÄµ×ÄÇ×ù½­³Ç3Ìì3Ò¹Ñ°Ó£Ö®ÂÃ£¨Ó£»¨£¯ÃÀÊ³£¯ÈËÎÄ£©,/2017/03/16,3,900,ÇéÂÂ,ÃÀÊ³?ÈËÎÄ?ÉÍÓ£?Ì¤´º,18000
ºÏ·Ê,°²»ÕÌìÖùÉ½¡¢°²Çì¡¢ºÏ·Ê´º½ÚÁ½ÈÕ£¨¼ÃÄÏ»ð³µÍù·µ£©,/2017/02/17,2,1000,¶À×ÔÒ»ÈË,Í½²½?ÉãÓ°?ÃÀÊ³?ÈËÎÄ?´º½Ú,2864
Æ½Ñô,º£µº¡¢¹ÅÕ¬¡¢ÄÏÑãµ´£¬4Ìì3Íí½âËøÐ¡³ÇÆ½Ñô,/2018/07/01,4,2000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?±ÏÒµÓÎ?¹ÅÕò?ÉãÓ°?ÃÀÊ³?ÃÛÔÂ?ÈËÎÄ?º£±õº£µº?ÎåÒ»?¶ËÎç?ÏÄ¼¾?Êî¼Ù?¹úÇì,33000
ä¶ÖÞµº,Ò»Æ¬º££¬Ò»×ùµº£¬Ò»³¡ÃÎ,/2018/07/08,3,1000,ÇéÂÂ,Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?ÓÎÂÖ?ÉãÓ°?º£±õº£µº?ÏÄ¼¾?Êî¼Ù,4750
ÎÞÎý,ÎÞÎýÂÃÐÐ£¬Ò»³¡·á¸»¶à²ÊµÄÓ°ÊÓÎÄ»¯Ì½Ë÷Ö®ÂÃ,/2018/07/12,2,1500,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?¹ÅÕò?ÉãÓ°?ÈËÎÄ?ÏÄ¼¾,15000
»ÆÉ½,»ÆÉ½ÂÃÓÎ¹¥ÂÔ£¨»ã×ÜÆª£©,/2018/07/21,3,1000,ÈýÎåºÃÓÑ,µÚÒ»´Î?ÏÄ¼¾,51000
ÏóÉ½,Êî¼ÙÈ¥ÄÄ¶ùÍæ£üÕÒÒ»¸öÓÐÉ½ÓÐº£µÄµØ·½£¬µöÓã¡¢·ÅÑò¡¢×¥ó¦Ð·£¬¹ý×ÅÏòÍùµÄÉú»î,/2018/07/01,1,1600,Ç××Ó,×Ô¼Ý?¹ÅÕò?ÉãÓ°?ÃÀÊ³?º£±õº£µº?ÏÄ¼¾?Êî¼Ù,14000
Ðû³Ç,"¡¾ÏÉ¾ÓÁúÒþ¡¿½ñÏÄÍæÍ¸¹úÄÚÕâ5×ù³ÇÊÐ""ÌýËµÃ¿Éý¸ß100mÆøÎÂÏÂ½µ0.6¡æ""",/2018/07/21,3,2000,ÈýÎåºÃÓÑ,µÚÒ»´Î?Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?ÂþÓÎ?±ÏÒµÓÎ?¹ÅÕò?¹ºÎï?ÉãÓ°?ÃÀÊ³?ÈËÎÄ?ÏÄ¼¾?Êî¼Ù?¹úÇì,6305
